Patent Number - Numéro du brevet|IPC Classification Sequence Number - Numéro de séquence de la classification de la CIB|IPC Version Date - Date de la version de la CIB|Classification Level - Niveau de classification|Classification Status Code - Code du statut de classification|Classification Status - Statut de classification|IPC Section Code - Code de la section de la CIB|IPC Section - Section de la CIB|IPC Class Code - Code de la classe de la CIB|IPC Class - Classe de la CIB|IPC Subclass Code - Code de la sous-classe de la CIB|IPC Subclass - Sous-classe de la CIB|IPC Main Group Code - Code du groupe principal de la CIB|IPC Group - Groupe de la CIB|IPC Subgroup Code - Code du sous-groupe de la CIB|IPC Subgroup - Sous-groupe de la CIB
10408|   2|2006-01-01|A|B|Basic or original data|B|PERFORMING OPERATIONS; TRANSPORTING|27|WORKING OR PRESERVING WOOD OR SIMILAR MATERIAL; NAILING OR STAPLING MACHINES IN GENERAL|M|WORKING OF WOOD NOT PROVIDED FOR IN SUBCLASSES B27B-B27L; MANUFACTURE OF SPECIFIC WOODEN ARTICLES|3|Manufacture or reconditioning of specific semi-finished or finished articles (features of copying devices B23Q;manufacture of plywood or veneer, shaping plywood or veneer into articles B27D;of central layers for plywood B27D0001060000;nailing or stapling machines in general B27F0007000000;of elements for cooperage or wheel-making B27H)|00|Manufacture or reconditioning of specific semi-finished or finished articles (features of copying devices B23Q;manufacture of plywood or veneer, shaping plywood or veneer into articles B27D;of central layers for plywood B27D0001060000;nailing or stapling machines in general B27F0007000000;of elements for cooperage or wheel-making B27H)
3937|   1|2006-01-01|A|R|Reclassified data|C|CHEMISTRY; METALLURGY|14|SKINS; HIDES; PELTS OR LEATHER|C|TREATING SKINS, HIDES OR LEATHER WITH CHEMICALS, ENZYMES OR MICROORGANISMS, e.g. TANNING, IMPREGNATING OR FINISHING; APPARATUS THEREFOR; COMPOSITIONS FOR TANNING (bleaching  of leather or furs D06L;dyeing of leather or furs D06P)|3|Tanning; Compositions for tanning|22|using polymerisation products
102494|   1|2006-01-01|A|B|Basic or original data|C|CHEMISTRY; METALLURGY|08|ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON|F|MACROMOLECULAR COMPOUNDS OBTAINED BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS (production of liquid hydrocarbon mixtures from lower carbon number hydrocarbons, e.g. by oligomerisation, C10G0050000000;fermentation or enzyme-using processes to synthesise a desired chemical compound or composition or to separate optical isomers from a racemic mixture C12P;graft polymerisation of monomers containing carbon-to-carbon unsaturated bonds on to fibres, threads, yarns, fabrics or fibrous goods made from such materials D06M0014000000)|212|Copolymers of compounds having one or more unsaturated aliphatic radicals, each having only one carbon-to-carbon double bond, and at least one being terminated by an aromatic carbocyclic ring|08|Styrene
11914|   1|2006-01-01|A|B|Basic or original data|B|PERFORMING OPERATIONS; TRANSPORTING|27|WORKING OR PRESERVING WOOD OR SIMILAR MATERIAL; NAILING OR STAPLING MACHINES IN GENERAL|B|SAWS FOR WOOD OR SIMILAR MATERIAL; COMPONENTS OR ACCESSORIES THEREFOR (saws specially adapted for pruning or debranching A01G0003080000;sawing apparatus specially adapted for felling trees A01G0023091000;features not restricted to a particular type of wood saw B23D, e.g. attaching saw blades B23D0051000000;machine tool frames, beds, pillars or like members, in general B23Q0001010000)|9|Portable power-driven circular saws for manual operation (details or components, e.g. handles, casings, of portable power-driven tools not particularly related to the operation performed B25F0005000000)|00|Portable power-driven circular saws for manual operation (details or components, e.g. handles, casings, of portable power-driven tools not particularly related to the operation performed B25F0005000000)
9355|   1|2006-01-01|A|B|Basic or original data|C|CHEMISTRY; METALLURGY|08|ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON|L|COMPOSITIONS OF MACROMOLECULAR COMPOUNDS (compositions based on polymerisable monomers C08F, C08G;artificial filaments or fibres D01F;textile treating compositions D06)|9|Compositions of homopolymers or copolymers of conjugated diene hydrocarbons|00|Compositions of homopolymers or copolymers of conjugated diene hydrocarbons
23|   2|2006-01-01|A|B|Basic or original data|C|CHEMISTRY; METALLURGY|12|BIOCHEMISTRY; BEER; SPIRITS; WINE; VINEGAR; MICROBIOLOGY; ENZYMOLOGY; MUTATION OR GENETIC ENGINEERING|P|FERMENTATION OR ENZYME-USING PROCESSES TO SYNTHESISE A DESIRED CHEMICAL COMPOUND OR COMPOSITION OR TO SEPARATE OPTICAL ISOMERS FROM A RACEMIC MIXTURE|7|Preparation of oxygen-containing organic compounds|10|substrate containing cellulosic material
95066|   5|2006-01-01|A|B|Basic or original data|F|MECHANICAL ENGINEERING; LIGHTING; HEATING; WEAPONS; BLASTING|16|ENGINEERING ELEMENTS OR UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL|G|BELTS, CABLES, OR ROPES, PREDOMINANTLY USED FOR DRIVING PURPOSES; CHAINS; FITTINGS PREDOMINANTLY USED THEREFOR|11|Means for fastening cables or ropes to one another or to other objects (cable clamps for suspension bridge cables E01D0019160000); Caps or sleeves for fixing on cables or ropes (attaching ropes or cables to lift cars or cages B66B0007080000, to winch drums or barrels B66D0001340000;rope clamps in earth drilling E21B0019120000)|03|incorporating resiliently-mounted members for attachment of the cable end
69985|   2|2006-01-01|A|R|Reclassified data|B|PERFORMING OPERATIONS; TRANSPORTING|23|MACHINE TOOLS; METAL-WORKING NOT OTHERWISE PROVIDED FOR|Q|DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING (tools of the kind used in lathes or boring machines B23B0027000000); MACHINE TOOLS IN GENERAL, CHARACTERISED BY THE CONSTRUCTION OF PARTICULAR DETAILS OR COMPONENTS; COMBINATIONS OR ASSOCIATIONS OF METAL-WORKING MACHINES, NOT DIRECTED TO A PARTICULAR RESULT|1|Members which are comprised in the general build-up of a form of machine, particularly relatively large fixed members (B23Q0037000000 takes precedence)|54|two rotating pairs only
605|   1|2006-01-01|A|B|Basic or original data|B|PERFORMING OPERATIONS; TRANSPORTING|41|PRINTING; LINING MACHINES; TYPEWRITERS; STAMPS|N|PRINTING PLATES OR FOILS (photosensitive materials G03); MATERIALS FOR SURFACES USED IN PRINTING MACHINES FOR PRINTING, INKING, DAMPING, OR THE LIKE; PREPARING SUCH SURFACES FOR USE OR CONSERVING THEM|1|Printing plates or foils; Materials therefor|00|Printing plates or foils; Materials therefor
1742|   1|2006-01-01|A|R|Reclassified data|D|TEXTILES; PAPER|06|TREATMENT OF TEXTILES OR THE LIKE; LAUNDERING; FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR|M|TREATMENT, NOT PROVIDED FOR ELSEWHERE IN CLASS D06, OF FIBRES, THREADS, YARNS, FABRICS, FEATHERS OR FIBROUS GOODS MADE FROM SUCH MATERIALS|11|Treating fibres, threads, yarns, fabrics or fibrous goods made from such materials, with inorganic substances or complexes thereof; Such treatment combined with mechanical treatment, e.g. mercerising (D06M0010000000 takes precedence)|48|Oxides or hydroxides of chromium, molybdenum or tungsten; Chromates; Dichromates; Molybdates; Tungstates
